cycle,arena_share,arena_s,dist_parity,promoted
185,32.51,203.7,0.0625,0
186,71.35,1082.3,0.015,0
187,72.24,1115.1,0.0325,0
188,42.16,318.6,0.0458,0
189,57.8,593.6,0.0556,1
190,45.58,870.8,0.0015,0
191,47.1,385.0,0.0382,0
192,42.34,326.1,0.0958,1
193,63.26,745.7,0.0104,0
194,72.56,1116.5,0.0162,0
195,37.82,249.4,0.0521,0
196,59.84,646.4,0.0104,0
197,64.72,746.2,0.0,0
198,57.67,597.8,0.0579,1
199,50.5,461.6,0.0149,0
200,31.78,819.2,0.0,0
