generation,cycle,games,score,elo,ci_lo,ci_hi,wins,draws,losses,p
0,0,24,1.000,,,,24,0,0,
1,10,24,0.979,669,473,,23,1,0,
2,20,24,0.792,232,127,399,15,8,1,
3,30,24,0.792,232,97,500,18,2,4,
4,40,24,0.729,172,51,355,15,5,4,
5,50,24,0.562,44,-60,156,8,11,5,0.41
6,60,48,0.552,36,-32,107,14,25,9,0.30
7,70,48,0.594,66,-1,138,16,25,7,0.05
8,80,48,0.583,58,-10,132,16,24,8,0.10
9,90,48,0.479,-14,-80,50,9,28,11,0.66
