cycle,ladder,direct,ci_lo,ci_hi
20,467,374,255,666
40,255,191,74,371
60,236,172,69,316
80,173,172,69,316
100,137,89,18,167
120,107,97,31,170
140,74,97,22,181
160,71,81,12,158
180,21,-29,-95,35
