cycle,loss,loss_policy,loss_value
188,1.61617,1.27142,0.34474
189,1.62467,1.27302,0.35165
190,1.60493,1.26835,0.33658
191,1.62078,1.27399,0.34679
192,1.62282,1.27421,0.34861
193,1.60243,1.26666,0.33577
194,1.61549,1.27244,0.34305
195,1.62759,1.2728,0.35478
196,1.63422,1.27591,0.35831
197,1.64386,1.27698,0.36688
198,1.65094,1.27427,0.37667
199,1.61802,1.27037,0.34765
200,1.61899,1.27081,0.34818
